Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Net PnL %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %
1,Exit long,2023-01-05 08:00,time,1.06187,9418.85,9999.993045,1.6,0.02,13.75,0.14,-33.53,-0.34,1.6,0.02
1,Entry long,2023-01-04 08:00,L,1.0617,9418.85,9999.993045,1.6,0.02,13.75,0.14,-33.53,-0.34,1.6,0.02
2,Exit long,2023-01-09 13:00,X,1.07201,9417.61,10001.596,94.18,0.94,94.18,0.94,-3.48,-0.03,95.78,0.96
2,Entry long,2023-01-06 16:00,L,1.06201,9417.61,10001.596,94.18,0.94,94.18,0.94,-3.48,-0.03,95.78,0.96
3,Exit long,2023-01-10 13:00,time,1.07203,9412.08,10095.77349,-5.74,-0.06,32.38,0.32,-13.93,-0.14,90.04,0.90
3,Entry long,2023-01-09 13:00,L,1.07264,9412.08,10095.77349,-5.74,-0.06,32.38,0.32,-13.93,-0.14,90.04,0.90
4,Exit long,2023-01-12 14:00,X,1.07663,9316.31,10090.02955,-59.81,-0.59,3.26,0.03,-73.32,-0.73,30.23,0.30
4,Entry long,2023-01-12 13:00,L,1.08305,9316.31,10090.02955,-59.81,-0.59,3.26,0.03,-73.32,-0.73,30.23,0.30
5,Exit long,2023-01-13 13:00,X,1.07988,9244.36,10030.22304,-47.42,-0.47,16.55,0.16,-47.42,-0.47,-17.2,-0.17
5,Entry long,2023-01-12 17:00,L,1.08501,9244.36,10030.22304,-47.42,-0.47,16.55,0.16,-47.42,-0.47,-17.2,-0.17
6,Exit long,2023-01-17 15:00,X,1.08006,9188.45,9982.791503,-58.71,-0.59,0,0.00,-63.86,-0.64,-75.91,-0.76
6,Entry long,2023-01-17 14:00,L,1.08645,9188.45,9982.791503,-58.71,-0.59,0,0.00,-63.86,-0.64,-75.91,-0.76
7,Exit long,2023-01-24 00:00,time,1.08724,9116.04,9924.085786,-12.76,-0.13,37.01,0.37,-36.65,-0.37,-88.67,-0.89
7,Entry long,2023-01-23 00:00,L,1.08864,9116.04,9924.085786,-12.76,-0.13,37.01,0.37,-36.65,-0.37,-88.67,-0.89
8,Exit long,2023-01-25 11:00,X,1.08564,9086.53,9911.314328,-46.61,-0.47,3.36,0.03,-46.61,-0.47,-135.29,-1.35
