combo_key,variant,params_json,symbol,status,n_folds,median_oos_pf,worst_fold_oos_pf,median_oos_sharpe,max_oos_dd_pct,max_is_to_oos_sharpe_degradation_pct,total_oos_trades,min_fold_oos_trades,raw_p,bonferroni_p,n_tested,survives_raw,survives_bonferroni,verdict,gate_reason
"V0|atr_stop_mult=1.5,ema_fast=13,ema_slow=34,rsi_length=10",V0,"{""atr_stop_mult"": 1.5, ""ema_fast"": 13, ""ema_slow"": 34, ""rsi_length"": 10}",EURUSD,OK,5,0.498688,0.000000,0.000000,1.388409,100.000000,35,1,0.893241,1.000000,123,false,false,BLOCKED,min_fold_oos_trades=1 < 5; total_oos_trades=35 < 40; median_oos_pf=0.499 < 1.30; median_oos_sharpe=0.000 < 0.70; folds_with_oos_pf>1=2 < 3; max_is_to_oos_sharpe_degradation_pct=100.0% > 30%
"V0|atr_stop_mult=1.5,ema_fast=13,ema_slow=34,rsi_length=10",V0,"{""atr_stop_mult"": 1.5, ""ema_fast"": 13, ""ema_slow"": 34, ""rsi_length"": 10}",GBPUSD,OK,5,1.988694,1.027855,4.113314,0.760421,100.000000,43,2,0.040305,1.000000,123,true,false,BLOCKED,min_fold_oos_trades=2 < 5; max_is_to_oos_sharpe_degradation_pct=100.0% > 30%
"V0|atr_stop_mult=1.5,ema_fast=13,ema_slow=34,rsi_length=10",V0,"{""atr_stop_mult"": 1.5, ""ema_fast"": 13, ""ema_slow"": 34, ""rsi_length"": 10}",XAUUSD,OK,5,1.784070,0.952506,3.056403,2.132235,100.000000,60,7,0.044370,1.000000,123,true,false,BLOCKED,max_is_to_oos_sharpe_degradation_pct=100.0% > 30%
"V0|atr_stop_mult=1.5,ema_fast=13,ema_slow=34,rsi_length=10",V0,"{""atr_stop_mult"": 1.5, ""ema_fast"": 13, ""ema_slow"": 34, ""rsi_length"": 10}",USDJPY,OK,5,2.159825,0.323818,2.923197,1.767131,354.886227,45,7,0.341890,1.000000,123,false,false,BLOCKED,max_is_to_oos_sharpe_degradation_pct=354.9% > 30%
"V0|atr_stop_mult=1.5,ema_fast=13,ema_slow=34,rsi_length=14",V0,"{""atr_stop_mult"": 1.5, ""ema_fast"": 13, ""ema_slow"": 34, ""rsi_length"": 14}",EURUSD,OK,5,0.743248,0.000000,0.000000,1.511982,3753.744458,32,0,0.826697,1.000000,123,false,false,BLOCKED,min_fold_oos_trades=0 < 5; total_oos_trades=32 < 40; median_oos_pf=0.743 < 1.30; median_oos_sharpe=0.000 < 0.70; folds_with_oos_pf>1=2 < 3; max_is_to_oos_sharpe_degradation_pct=3753.7% > 30%
"V0|atr_stop_mult=1.5,ema_fast=13,ema_slow=34,rsi_length=14",V0,"{""atr_stop_mult"": 1.5, ""ema_fast"": 13, ""ema_slow"": 34, ""rsi_length"": 14}",GBPUSD,OK,5,1.689832,0.401349,3.579492,0.945890,100.000000,34,2,0.138119,1.000000,123,false,false,BLOCKED,min_fold_oos_trades=2 < 5; total_oos_trades=34 < 40; max_is_to_oos_sharpe_degradation_pct=100.0% > 30%
"V0|atr_stop_mult=1.5,ema_fast=13,ema_slow=34,rsi_length=14",V0,"{""atr_stop_mult"": 1.5, ""ema_fast"": 13, ""ema_slow"": 34, ""rsi_length"": 14}",XAUUSD,OK,5,1.252403,0.026693,1.223223,2.027346,100.000000,47,3,0.576412,1.000000,123,false,false,BLOCKED,min_fold_oos_trades=3 < 5; median_oos_pf=1.252 < 1.30; max_is_to_oos_sharpe_degradation_pct=100.0% > 30%
"V0|atr_stop_mult=1.5,ema_fast=13,ema_slow=34,rsi_length=14",V0,"{""atr_stop_mult"": 1.5, ""ema_fast"": 13, ""ema_slow"": 34, ""rsi_length"": 14}",USDJPY,OK,5,0.831919,0.251500,-1.125063,1.921563,564.283267,33,5,0.500182,1.000000,123,false,false,BLOCKED,total_oos_trades=33 < 40; median_oos_pf=0.832 < 1.30; median_oos_sharpe=-1.125 < 0.70; folds_with_oos_pf>1=2 < 3; max_is_to_oos_sharpe_degradation_pct=564.3% > 30%
"V0|atr_stop_mult=1.5,ema_fast=13,ema_slow=34,rsi_length=21",V0,"{""atr_stop_mult"": 1.5, ""ema_fast"": 13, ""ema_slow"": 34, ""rsi_length"": 21}",EURUSD,OK,5,0.574114,0.000000,-1.574211,0.873460,521.599789,17,0,0.745688,1.000000,123,false,false,BLOCKED,min_fold_oos_trades=0 < 5; total_oos_trades=17 < 40; median_oos_pf=0.574 < 1.30; median_oos_sharpe=-1.574 < 0.70; folds_with_oos_pf>1=1 < 3; max_is_to_oos_sharpe_degradation_pct=521.6% > 30%
"V0|atr_stop_mult=1.5,ema_fast=13,ema_slow=34,rsi_length=21",V0,"{""atr_stop_mult"": 1.5, ""ema_fast"": 13, ""ema_slow"": 34, ""rsi_length"": 21}",GBPUSD,OK,5,0.749699,0.000000,-1.830015,1.060895,260247.124994,22,1,0.812642,1.000000,123,false,false,BLOCKED,min_fold_oos_trades=1 < 5; total_oos_trades=22 < 40; median_oos_pf=0.750 < 1.30; median_oos_sharpe=-1.830 < 0.70; folds_with_oos_pf>1=2 < 3; max_is_to_oos_sharpe_degradation_pct=260247.1% > 30%
"V0|atr_stop_mult=1.5,ema_fast=13,ema_slow=34,rsi_length=21",V0,"{""atr_stop_mult"": 1.5, ""ema_fast"": 13, ""ema_slow"": 34, ""rsi_length"": 21}",XAUUSD,OK,5,3.286820,0.000000,3.181140,0.631686,100.000000,20,0,0.047979,1.000000,123,true,false,BLOCKED,min_fold_oos_trades=0 < 5; total_oos_trades=20 < 40; max_is_to_oos_sharpe_degradation_pct=100.0% > 30%
"V0|atr_stop_mult=1.5,ema_fast=13,ema_slow=34,rsi_length=21",V0,"{""atr_stop_mult"": 1.5, ""ema_fast"": 13, ""ema_slow"": 34, ""rsi_length"": 21}",USDJPY,OK,5,1.107469,0.606865,0.695734,1.034837,100.000000,25,2,0.367704,1.000000,123,false,false,BLOCKED,min_fold_oos_trades=2 < 5; total_oos_trades=25 < 40; median_oos_pf=1.107 < 1.30; median_oos_sharpe=0.696 < 0.70; max_is_to_oos_sharpe_degradation_pct=100.0% > 30%
"V0|atr_stop_mult=1.5,ema_fast=13,ema_slow=55,rsi_length=10",V0,"{""atr_stop_mult"": 1.5, ""ema_fast"": 13, ""ema_slow"": 55, ""rsi_length"": 10}",EURUSD,OK,5,0.435727,0.000000,0.000000,1.784846,5924.721481,39,1,0.822187,1.000000,123,false,false,BLOCKED,min_fold_oos_trades=1 < 5; total_oos_trades=39 < 40; median_oos_pf=0.436 < 1.30; median_oos_sharpe=0.000 < 0.70; folds_with_oos_pf>1=2 < 3; max_is_to_oos_sharpe_degradation_pct=5924.7% > 30%
