combo_key,variant,params_json,status,n_primary_folds,median_oos_pf,worst_fold_oos_pf,median_oos_sharpe,max_oos_dd_pct,max_is_to_oos_sharpe_degradation_pct,total_oos_trades,min_fold_oos_trades,folds_with_oos_pf_gt_1,max_per_pair_net_profit_share,net_profit_share_json,control_catastrophic,control_folds_below_bar_json,raw_p,bonferroni_p,n_tested,survives_raw,survives_bonferroni,verdict,gate_reason,downgrade_reasons,posterior_pf_p05,posterior_pf_p50,posterior_pf_p95,posterior_pf_prob_gt_1
"V0|atr_stop_mult=1.5,ema_fast=13,ema_slow=34,rsi_length=10",V0,"{""atr_stop_mult"": 1.5, ""ema_fast"": 13, ""ema_slow"": 34, ""rsi_length"": 10}",OK,5,7.184731,0.829581,1.226215,2.132235,100.000000,138,13,4,0.732960,"{""EURUSD"": 0.1424148883434577, ""GBPUSD"": 0.12462495492607797, ""XAUUSD"": 0.7329601567304643}",false,"{""USDJPY"": 1}",0.080108,1.000000,123,false,false,BLOCKED,portfolio.max_is_to_oos_sharpe_degradation_pct=100.0% > 30%; portfolio.max_per_pair_net_profit_share=73.3% (worst: XAUUSD) > 40%,,0.261977,4.203634,67.450788,0.823233
"V0|atr_stop_mult=1.5,ema_fast=13,ema_slow=34,rsi_length=14",V0,"{""atr_stop_mult"": 1.5, ""ema_fast"": 13, ""ema_slow"": 34, ""rsi_length"": 14}",OK,5,1.709823,0.357582,-1.522935,2.027346,3753.744458,113,10,3,0.609920,"{""EURUSD"": 0.16168675143555733, ""GBPUSD"": 0.2283928631578313, ""XAUUSD"": 0.6099203854066114}",false,"{""USDJPY"": 1}",0.377764,1.000000,123,false,false,BLOCKED,portfolio.median_oos_sharpe=-1.523 < 0.70; portfolio.max_is_to_oos_sharpe_degradation_pct=3753.7% > 30%; portfolio.max_per_pair_net_profit_share=61.0% (worst: XAUUSD) > 40%,,0.076879,2.296684,68.610918,0.674418
"V0|atr_stop_mult=1.5,ema_fast=13,ema_slow=34,rsi_length=21",V0,"{""atr_stop_mult"": 1.5, ""ema_fast"": 13, ""ema_slow"": 34, ""rsi_length"": 21}",OK,5,3.679614,1.046576,-0.524737,1.060895,260247.124994,59,4,5,0.692871,"{""EURUSD"": 0.14948941502598606, ""GBPUSD"": 0.15763916652368842, ""XAUUSD"": 0.6928714184503255}",false,"{""USDJPY"": 0}",0.815107,1.000000,123,false,false,BLOCKED,portfolio.min_fold_oos_trades=4 < 5; portfolio.median_oos_sharpe=-0.525 < 0.70; portfolio.max_is_to_oos_sharpe_degradation_pct=260247.1% > 30%; portfolio.max_per_pair_net_profit_share=69.3% (worst: XAUUSD) > 40%,,0.393488,3.309122,27.828760,0.841643
"V0|atr_stop_mult=1.5,ema_fast=13,ema_slow=55,rsi_length=10",V0,"{""atr_stop_mult"": 1.5, ""ema_fast"": 13, ""ema_slow"": 55, ""rsi_length"": 10}",OK,5,7.033926,0.245153,1.118146,2.430722,5924.721481,162,13,4,0.711724,"{""EURUSD"": 0.15320568725718722, ""GBPUSD"": 0.1350706043131943, ""XAUUSD"": 0.7117237084296185}",false,"{""USDJPY"": 1}",0.157765,1.000000,123,false,false,BLOCKED,portfolio.max_is_to_oos_sharpe_degradation_pct=5924.7% > 30%; portfolio.max_per_pair_net_profit_share=71.2% (worst: XAUUSD) > 40%,,0.103383,3.209936,99.665620,0.733014
"V0|atr_stop_mult=1.5,ema_fast=13,ema_slow=55,rsi_length=14",V0,"{""atr_stop_mult"": 1.5, ""ema_fast"": 13, ""ema_slow"": 55, ""rsi_length"": 14}",OK,5,9.229658,0.024976,1.769173,2.535159,1252.240778,132,10,3,0.671809,"{""EURUSD"": 0.1562584691556118, ""GBPUSD"": 0.1719328914066545, ""XAUUSD"": 0.6718086394377336}",false,"{""USDJPY"": 2}",0.521546,1.000000,123,false,false,BLOCKED,portfolio.max_is_to_oos_sharpe_degradation_pct=1252.2% > 30%; portfolio.max_per_pair_net_profit_share=67.2% (worst: XAUUSD) > 40%,,0.014569,1.864588,238.636930,0.594362
"V0|atr_stop_mult=1.5,ema_fast=13,ema_slow=55,rsi_length=21",V0,"{""atr_stop_mult"": 1.5, ""ema_fast"": 13, ""ema_slow"": 55, ""rsi_length"": 21}",OK,5,8.596107,0.000000,2.036369,1.861179,1655.336391,90,5,3,0.685688,"{""EURUSD"": 0.12865905733063737, ""GBPUSD"": 0.18565252753014314, ""XAUUSD"": 0.6856884151392194}",false,"{""USDJPY"": 2}",0.444243,1.000000,123,false,false,BLOCKED,portfolio.max_is_to_oos_sharpe_degradation_pct=1655.3% > 30%; portfolio.max_per_pair_net_profit_share=68.6% (worst: XAUUSD) > 40%,,0.238555,4.165723,72.743203,0.819556
"V0|atr_stop_mult=1.5,ema_fast=13,ema_slow=89,rsi_length=10",V0,"{""atr_stop_mult"": 1.5, ""ema_fast"": 13, ""ema_slow"": 89, ""rsi_length"": 10}",OK,5,7.018839,0.026025,1.018990,2.433701,100.000000,183,18,4,0.712124,"{""EURUSD"": 0.1375248689957297, ""GBPUSD"": 0.15035144212528542, ""XAUUSD"": 0.7121236888789848}",false,"{""USDJPY"": 1}",0.206488,1.000000,123,false,false,BLOCKED,portfolio.max_is_to_oos_sharpe_degradation_pct=100.0% > 30%; portfolio.max_per_pair_net_profit_share=71.2% (worst: XAUUSD) > 40%,,0.031478,2.538762,204.756090,0.652806
"V0|atr_stop_mult=1.5,ema_fast=13,ema_slow=89,rsi_length=14",V0,"{""atr_stop_mult"": 1.5, ""ema_fast"": 13, ""ema_slow"": 89, ""rsi_length"": 14}",OK,5,9.303606,0.100421,1.152362,2.761826,6752.736792,153,14,3,0.703299,"{""EURUSD"": 0.13976634518583436, ""GBPUSD"": 0.15693485315864256, ""XAUUSD"": 0.7032988016555232}",false,"{""USDJPY"": 1}",0.512115,1.000000,123,false,false,BLOCKED,portfolio.max_is_to_oos_sharpe_degradation_pct=6752.7% > 30%; portfolio.max_per_pair_net_profit_share=70.3% (worst: XAUUSD) > 40%,,0.044118,2.416990,132.415481,0.658330
"V0|atr_stop_mult=1.5,ema_fast=13,ema_slow=89,rsi_length=21",V0,"{""atr_stop_mult"": 1.5, ""ema_fast"": 13, ""ema_slow"": 89, ""rsi_length"": 21}",OK,5,7.243475,0.000000,1.275493,3.093751,3866.184827,109,9,3,0.739063,"{""EURUSD"": 0.12223178613844807, ""GBPUSD"": 0.13870562702240707, ""XAUUSD"": 0.7390625868391448}",false,"{""USDJPY"": 0}",0.429108,1.000000,123,false,false,BLOCKED,portfolio.max_is_to_oos_sharpe_degradation_pct=3866.2% > 30%; portfolio.max_per_pair_net_profit_share=73.9% (worst: XAUUSD) > 40%,,0.083528,3.800855,172.954278,0.743781
"V0|atr_stop_mult=1.5,ema_fast=21,ema_slow=34,rsi_length=10",V0,"{""atr_stop_mult"": 1.5, ""ema_fast"": 21, ""ema_slow"": 34, ""rsi_length"": 10}",OK,5,7.261740,3.216390,1.077755,1.386207,100.000000,137,13,5,0.701933,"{""EURUSD"": 0.1976356775697991, ""GBPUSD"": 0.10043158157703663, ""XAUUSD"": 0.7019327408531643}",false,"{""USDJPY"": 1}",0.315481,1.000000,123,false,false,BLOCKED,portfolio.max_is_to_oos_sharpe_degradation_pct=100.0% > 30%; portfolio.max_per_pair_net_profit_share=70.2% (worst: XAUUSD) > 40%,,0.613791,5.638773,51.802233,0.909788
